Wol	Jak	KJZ	KJZest
110000	30	8.61	189.5611561181801
110000	20	8.21	188.52152949368158
110000	10	7.69	187.48220804496435
120000	10	7.75	189.09309005609015
120000	20	8.27	190.13485291105738
120000	30	8.67	191.17747025821214
120000	40	8.97	192.22033174599187
120000	50	9.24	193.2638035853341
120000	60	9.55	194.30776370592633
120000	70	9.98	195.3519679671436
120000	80	10.66	196.39666050961083
120000	90	11.7	197.44245168489056
130000	100	13.35	110.79437633613983
130000	90	11.78	109.7478527389851
130000	80	10.74	108.70206156370537
130000	70	10.06	107.65639245873813
130000	60	9.63	106.6109674943959
130000	50	9.32	105.56651909255365
130000	40	9.05	104.52268104227392
130000	30	8.75	103.47896506230667
130000	20	8.35	102.43512701202694
130000	10	7.83	101.3923875945597
140000	10	7.91	16.773716383087454
140000	20	8.43	17.817066152117192
140000	30	8.83	18.861880764896927
140000	40	9.13	19.905718815176666
140000	50	9.4	20.950045146706405
140000	60	9.71	21.995592181361143
140000	70	10.14	23.04065093476588
140000	80	10.82	24.086686250670617
140000	90	11.86	25.134430550950356
140000	95	12.57	25.655861294840225
140000	100	13.43	26.180465866855094
160000	100	13.6	27.716072662485978
160000	90	12.03	26.66808422158124
160000	80	10.99	25.6220489056765
160000	70	10.31	24.57625773039676
160000	60	9.88	23.531687258242027
160000	50	9.57	22.486140223587288
160000	40	9.3	21.44181389205755
160000	30	9.0	20.39724341990281
160000	20	8.6	19.351452244623076
160000	10	8.08	18.307125913093337
170000	10	8.17	22.916604115625383
170000	20	8.69	23.96190700965512
170000	30	9.09	25.006477481809856
170000	40	9.39	26.051536235214595
170000	50	9.66	27.095130144869334
170000	60	9.97	28.141165460774072
170000	70	10.4	29.186224214178807
170000	80	11.08	30.232991951958546
170000	90	12.12	31.279027267863285
170000	100	13.69	32.32530672439302
180000	100	13.79	32.55734352067507
180000	90	12.22	31.51057578289533
180000	80	11.18	30.46527288886559
180000	70	10.5	29.419969994835853
180000	60	10.07	28.372225694556118
180000	50	9.76	27.32887592552638
180000	40	9.49	26.28454959399664
180000	30	9.19	25.237781856216902
180000	20	8.79	24.192967243437167
180000	10	8.27	23.147176068157428
190000	10	8.37	20.33526755199768
190000	20	8.89	21.38154700852742
190000	30	9.29	22.425873340057155
190000	40	9.59	23.470687952836894
190000	50	9.86	24.514526003116632
190000	60	10.17	25.56031717839637
190000	70	10.6	26.606596634926106
190000	80	11.28	27.653364372705845
190000	90	12.32	28.700620391735583
190000	100	13.89	29.744946723265322
112000	42	8.98	202.71344062214135
142000	53	9.5	12.84139103038681
72000	34	8.58	12.211551121789386
27000	69	9.83	12.518677524924067
77000	53	9.12	17.456900633821284
174211	74	10.67	30.160154406558732
112000	42	8.98	50.606447489485106
27000	69	9.83	86.98814281809601
1000	20	1.2	1.1988886715387013
77000	53	1.0	39.14269348194232
110000	60	9.49	9.490327018485628
110000	61	9.0	9.525631280589582
110000	61	1.0	9.525631280589582
20000	70	1.0	9.940243088586389
27000	70	2.0	87.09904675061011
21000	30	1.0	45.914598127574415
20001	30	1.0	8.647752892157978
20050	30	1.0	9.506960037811705
20100	30	1.0	11.017219541508194
27000	69	1.0	15.917146818171515
27000	69	1.0	10.439060755393967
20000	69	1.0	9.896999362086518
25000	70	1.0	10.459642822441111
27000	69	1.0	11.272802311611446
100500	10	1.0	10.007666115737976
100000	10	1.0	7.6300000000390185
100080	10	1.0	8.85783714810512
20000	70	1.0	9.940000000053061
27000	70	1.0	10.441445200178151
27000	69	1.0	10.439060755393967
145000	40	1.0	10.519111805732592
1	20	1.0	1.0197532125655755
10	10	1.0	1.0595432143052506
10	30	1.0	1.8661832828145464
10	20	1.0	8.340000000000032
20	70	1.0	9.940000000000058
20	69	1.0	9.891980258816051
20	68	1.0	9.845404601348328
20	67	1.0	9.800156643351551
20	66	1.0	9.756114030849531
27	70	1.0	9.886980771005954
27	69	1.0	9.834599273200919
72	34	1.0	8.58135741367501
77	53	1.0	9.119076259549017
112	42	1.0	8.97487427794072
174.211	74	1.0	10.681005968089503
142.0	53	1.0	9.50100708921155
142.0	53	1.0	9.50092136558559
77.0	53	1.0	9.119076138362312
72.0	34	1.0	8.581768807680051
27.0	69	1.0	9.834337263317144
27.0	69	1.0	9.829670253461469
174.211	74	1.0	10.679884579418882
112.0	42	1.0	8.975412445614438
